matrix,config,run_type,schedule,chunk,threads,L1_misses_val_mean,L1_misses_val_std,L1_misses_val_min,L1_misses_val_max,L1_percent_val_mean,L1_percent_val_std,L1_percent_val_min,L1_percent_val_max,LLC_misses_val_mean,LLC_misses_val_std,LLC_misses_val_min,LLC_misses_val_max,LLC_percent_val_mean,LLC_percent_val_std,LLC_percent_val_min,LLC_percent_val_max,repeat_count
crankseg_1,guided_c100_t8,parallel,guided,100.0,8.0,11760057.7,251159.18226718745,11556616.0,12268175.0,0.34400000000000003,0.008432740427115656,0.34,0.36,67583.2,16915.053609794508,58149.0,101717.0,64.939,2.0537848529537377,63.13,69.81,10
crankseg_1,guided_c10_t1,parallel,guided,10.0,1.0,11995925.3,272746.55310177605,11593837.0,12252524.0,0.353,0.009486832980505117,0.34,0.36,73908.7,16508.808524542284,50729.0,89689.0,65.90599999999999,1.847485979498748,63.89,68.29,10
crankseg_1,guided_c10_t16,parallel,guided,10.0,16.0,12009224.6,296561.39362484624,11597160.0,12347348.0,0.353,0.009486832980505126,0.34,0.36,84193.2,19208.14300585388,62030.0,104241.0,62.537,2.420142557784562,59.14,65.54,10
crankseg_1,guided_c10_t2,parallel,guided,10.0,2.0,11896525.7,305033.11474368366,11593312.0,12288758.0,0.35,0.010540925533894572,0.34,0.36,67492.5,17852.50924317861,50748.0,93672.0,64.923,1.6967750456544193,63.59,68.26,10
crankseg_1,guided_c10_t32,parallel,guided,10.0,32.0,12050702.1,270114.90370928805,11721081.0,12464791.0,0.355,0.008498365855987977,0.34,0.37,86582.1,17766.52209728548,65860.0,108099.0,57.58200000000001,2.3560975267495947,54.82,61.45,10
crankseg_1,guided_c10_t4,parallel,guided,10.0,4.0,11936911.7,296705.6931098372,11602362.0,12327562.0,0.34900000000000003,0.009944289260117513,0.34,0.36,72944.9,17468.610581713576,55779.0,96404.0,66.443,1.419014133513518,64.63,68.64,10
crankseg_1,guided_c10_t64,parallel,guided,10.0,64.0,12137015.2,302198.7088500248,11716291.0,12424522.0,0.35,0.009428090415820595,0.34,0.36,92055.3,19445.015854111993,68184.0,111109.0,52.777,3.533842887785981,48.69,57.06,10
crankseg_1,guided_c10_t8,parallel,guided,10.0,8.0,11921291.2,318638.8711294061,11624220.0,12412199.0,0.352,0.01032795558988643,0.34,0.37,73534.0,17799.37452708818,59317.0,99351.0,64.726,1.2777167135167355,63.33,66.98,10
crankseg_1,guided_c1_t1,parallel,guided,1.0,1.0,11997455.3,308171.62832603906,11534696.0,12321266.0,0.353,0.009486832980505126,0.34,0.36,73116.7,16138.938971389114,50929.0,91596.0,65.678,1.8364204311649333,63.34,69.2,10
crankseg_1,guided_c1_t16,parallel,guided,1.0,16.0,11916947.5,322051.29222540796,11631221.0,12418367.0,0.35,0.011547005383792492,0.34,0.37,77334.1,17902.843445479077,62214.0,103088.0,61.435,1.8317038212792196,59.53,64.98,10
crankseg_1,guided_c1_t2,parallel,guided,1.0,2.0,11849706.8,294641.905149209,11587967.0,12312565.0,0.34700000000000003,0.00948683298050511,0.34,0.36,64367.7,17255.48041154848,50150.0,90308.0,64.968,1.587533376727,62.79,67.7,10
crankseg_1,guided_c1_t32,parallel,guided,1.0,32.0,12064781.7,278247.74898841925,11731524.0,12397665.0,0.355,0.007071067811865469,0.34,0.36,89686.1,20187.182784298224,65808.0,108037.0,58.00599999999999,3.3511762445777484,53.71,61.58,10
crankseg_1,guided_c1_t4,parallel,guided,1.0,4.0,12040167.7,279581.6150298116,11682485.0,12360992.0,0.354,0.008432740427115665,0.34,0.36,79661.9,19994.354855808677,56439.0,97963.0,67.37,2.0230834551907795,65.12,70.06,10
crankseg_1,guided_c1_t64,parallel,guided,1.0,64.0,12069411.9,307618.00511111954,11732678.0,12444185.0,0.34900000000000003,0.009944289260117513,0.34,0.36,89781.3,19695.45349707784,69214.0,115924.0,51.136,3.5947684209139266,46.46,56.71,10
crankseg_1,guided_c1_t8,parallel,guided,1.0,8.0,12007816.7,293261.64366011677,11641335.0,12316634.0,0.352,0.009189365834726801,0.34,0.36,82024.6,18888.659150106152,60497.0,100529.0,65.409,1.6477085098200253,63.71,67.42,10
crankseg_1,static_c10000_t1,parallel,static,10000.0,1.0,11885482.0,289139.4852542818,11556813.0,12289620.0,0.34900000000000003,0.00994428926011751,0.34,0.36,66852.2,17104.254992382583,50878.0,90451.0,65.651,2.3173329976984793,63.22,70.74,10
crankseg_1,static_c10000_t16,parallel,static,10000.0,16.0,11900458.9,329870.1016270396,11595859.0,12410863.0,0.34700000000000003,0.009486832980505129,0.34,0.36,71661.5,18803.971083257922,56793.0,97400.0,66.299,2.027294036668367,64.2,69.06,10
crankseg_1,static_c10000_t2,parallel,static,10000.0,2.0,11868694.3,301090.4032656602,11585534.0,12376351.0,0.348,0.009189365834726789,0.34,0.36,61361.2,17388.314440067694,50112.0,90727.0,64.479,1.789794836162948,63.06,67.89,10
crankseg_1,static_c10000_t32,parallel,static,10000.0,32.0,11802738.4,239779.21816917794,11619231.0,12338307.0,0.34500000000000003,0.008498365855987953,0.34,0.36,64428.9,14442.899935416172,57059.0,97818.0,64.14,1.3617880402862472,62.83,67.52,10
crankseg_1,static_c10000_t4,parallel,static,10000.0,4.0,12010210.0,287606.5949127963,11692961.0,12439860.0,0.353,0.0105934990547138,0.34,0.37,77034.6,20234.263076936277,53734.0,98671.0,66.829,2.3328973402188082,64.11,70.14,10
crankseg_1,static_c10000_t64,parallel,static,10000.0,64.0,11894048.1,267053.67111352563,11595108.0,12232559.0,0.343,0.006749485577105507,0.33,0.35,70497.3,16074.030449765858,57422.0,98063.0,61.246,1.8073688672272255,59.44,65.7,10
crankseg_1,static_c10000_t8,parallel,static,10000.0,8.0,11902110.9,271342.506282476,11609940.0,12298059.0,0.348,0.009189365834726801,0.34,0.36,73740.6,17479.245916864442,57366.0,97520.0,66.909,1.352030982550984,65.39,69.37,10
crankseg_1,static_c1000_t1,parallel,static,1000.0,1.0,11838379.7,251046.46079076012,11575686.0,12207155.0,0.34700000000000003,0.009486832980505124,0.34,0.36,64418.8,17418.494473786574,50721.0,94471.0,65.584,1.4813372337182362,63.86,69.39,10
crankseg_1,static_c1000_t16,parallel,static,1000.0,16.0,11933755.9,279609.10202815087,11648101.0,12315985.0,0.35,0.009428090415820618,0.34,0.36,73070.2,15718.139222637717,60415.0,100068.0,63.019000000000005,1.4023983425229494,61.68,66.68,10
crankseg_1,static_c1000_t2,parallel,static,1000.0,2.0,11957785.0,274720.98968792165,11637475.0,12300373.0,0.351,0.009944289260117525,0.34,0.36,68001.7,17942.48310605617,50821.0,89844.0,62.145,1.884027895523606,60.05,65.08,10
crankseg_1,static_c1000_t32,parallel,static,1000.0,32.0,12019027.5,242572.28895927992,11690153.0,12300113.0,0.355,0.007071067811865476,0.34,0.36,81551.1,17210.341622601994,61222.0,102128.0,62.157000000000004,2.1014970854131567,59.28,66.02,10
crankseg_1,static_c1000_t4,parallel,static,1000.0,4.0,12006509.8,292094.4456605317,11633594.0,12470810.0,0.354,0.010749676997731383,0.34,0.37,77271.5,17049.318554319605,57314.0,97001.0,64.863,1.2439457830271838,63.47,67.36,10
crankseg_1,static_c1000_t64,parallel,static,1000.0,64.0,12070240.0,242496.05230647008,11689970.0,12300881.0,0.347,0.004830458915396455,0.34,0.35,86738.9,17812.402236456863,62140.0,108869.0,59.852999999999994,2.6698899269861704,56.55,63.25,10
crankseg_1,static_c1000_t8,parallel,static,1000.0,8.0,11944680.8,272525.1354192652,11574457.0,12343390.0,0.351,0.00994428926011752,0.34,0.36,79582.5,16987.36193141504,59907.0,101045.0,65.273,1.3611273921928744,63.86,67.63,10
crankseg_1,static_c100_t1,parallel,static,100.0,1.0,11945855.6,313036.61177433474,11515829.0,12271719.0,0.352,0.010327955589886426,0.34,0.36,71919.0,18341.122957260097,50907.0,91019.0,66.37899999999999,2.240527963573665,64.02,70.59,10
crankseg_1,static_c100_t16,parallel,static,100.0,16.0,12131921.4,324871.6499279884,11709613.0,12482876.0,0.357,0.009486832980505133,0.34,0.37,90250.1,22279.688160843823,64954.0,117120.0,56.849000000000004,3.746807381699192,52.63,62.25,10
crankseg_1,static_c100_t2,parallel,static,100.0,2.0,11924347.0,290255.0100373428,11664447.0,12363955.0,0.35,0.009428090415820612,0.34,0.36,65846.8,16907.293730484747,52768.0,92931.0,59.924,1.752675415218434,58.46,64.03,10
crankseg_1,static_c100_t32,parallel,static,100.0,32.0,12044716.6,314179.2290652654,11664535.0,12411360.0,0.353,0.008232726023485638,0.34,0.36,87133.9,21482.326702302165,65811.0,108825.0,53.644000000000005,3.8523360877957344,49.5,58.09,10
crankseg_1,static_c100_t4,parallel,static,100.0,4.0,12003712.6,269007.16085148684,11695069.0,12418154.0,0.354,0.00966091783079295,0.34,0.37,76620.5,15581.175488746383,61023.0,100305.0,60.01800000000001,1.490285580387568,58.57,63.34,10
crankseg_1,static_c100_t64,parallel,static,100.0,64.0,12005590.9,312250.59797805926,11671773.0,12475735.0,0.346,0.00843274042711566,0.34,0.36,85733.6,20582.706231742755,68460.0,115569.0,49.381,3.7899939900274826,45.21,55.19,10
crankseg_1,static_c100_t8,parallel,static,100.0,8.0,11898941.0,321708.8010421849,11631398.0,12395811.0,0.34900000000000003,0.008755950357709109,0.34,0.36,77604.0,20796.312942442462,63218.0,108960.0,57.592,2.8979256949296204,54.67,61.96,10
crankseg_1,static_c10_t1,parallel,static,10.0,1.0,11774971.3,279481.47088732803,11508782.0,12231918.0,0.346,0.00966091783079294,0.34,0.36,61028.1,16023.435811682559,50684.0,88585.0,64.816,1.1089554644899937,63.35,67.46,10
crankseg_1,static_c10_t16,parallel,static,10.0,16.0,12324392.0,281178.87428981747,12052203.0,12676123.0,0.363,0.006749485577105533,0.35,0.37,111587.1,19495.15947015224,94646.0,142470.0,49.228,1.82720065187768,47.15,52.42,10
crankseg_1,static_c10_t2,parallel,static,10.0,2.0,12216641.6,317266.0251356545,11839423.0,12535577.0,0.36,0.009428090415820637,0.35,0.37,97253.3,20555.558437507305,72462.0,116437.0,61.05800000000001,0.9489034607260002,59.91,62.71,10
crankseg_1,static_c10_t32,parallel,static,10.0,32.0,12476601.3,262293.3464725877,12145343.0,12771695.0,0.366,0.00516397779494322,0.36,0.37,116472.3,21010.378678960868,90788.0,140606.0,43.199,2.4505167255544738,39.84,46.7,10
crankseg_1,static_c10_t4,parallel,static,10.0,4.0,12319227.2,264976.35293772485,11908797.0,12567933.0,0.363,0.009486832980505145,0.35,0.37,118006.7,20242.764403059624,86013.0,137804.0,64.33500000000001,1.5695027521125555,61.09,66.23,10
crankseg_1,static_c10_t64,parallel,static,10.0,64.0,12677975.3,305188.268738805,12145330.0,13021337.0,0.364,0.008432740427115688,0.35,0.37,131456.8,26278.26143750339,93088.0,168229.0,39.939,3.3588538058225885,34.25,44.57,10
crankseg_1,static_c10_t8,parallel,static,10.0,8.0,12253801.8,250708.6870111295,11942196.0,12590326.0,0.362,0.007888106377466163,0.35,0.37,106521.2,16421.708848689013,91388.0,127739.0,57.004,0.8952988327927146,56.04,58.99,10
crankseg_1,static_c1_t1,parallel,static,1.0,1.0,11801772.3,290489.8539356694,11556946.0,12322763.0,0.346,0.008432740427115653,0.34,0.36,61129.2,16111.436985363329,50540.0,88177.0,64.877,1.192253235591242,63.53,67.11,10
crankseg_1,static_c1_t16,parallel,static,1.0,16.0,13803081.1,326882.61176638183,13324483.0,14131306.0,0.40499999999999997,0.010801234497346424,0.39,0.42,465566.5,41164.80077350335,388518.0,511178.0,68.23400000000001,3.144555082466626,63.67,73.73,10
crankseg_1,static_c1_t2,parallel,static,1.0,2.0,12689291.5,360151.98322105,12378668.0,13197752.0,0.374,0.012649110640673528,0.36,0.39,117947.9,21901.430488288504,100438.0,146818.0,41.497,2.460135723446529,39.19,44.79,10
crankseg_1,static_c1_t32,parallel,static,1.0,32.0,14086858.5,390940.56203589827,13742299.0,14621085.0,0.414,0.012649110640673502,0.4,0.43,401232.1,29158.752554669492,365558.0,439709.0,57.286,4.7717902533768415,50.4,65.55,10
crankseg_1,static_c1_t4,parallel,static,1.0,4.0,13017698.8,311771.3503995447,12592898.0,13396463.0,0.381,0.009944289260117542,0.37,0.39,368318.3,44235.754121273625,297941.0,425487.0,76.193,3.2488119195928937,71.42,80.81,10
