matrix,run_type,schedule,chunk,threads,config,p90_time_ms,count
msdoor,parallel,guided,1000,32,guided_c1000_t32,23.302599999999998,10
msdoor,parallel,guided,1000,64,guided_c1000_t64,49.98329999999999,10
msdoor,parallel,guided,10000,1,guided_c10000_t1,13.4399,10
msdoor,parallel,guided,10000,2,guided_c10000_t2,9.637500000000001,10
msdoor,parallel,guided,10000,4,guided_c10000_t4,6.188499999999999,10
msdoor,parallel,guided,10000,8,guided_c10000_t8,5.2755,10
msdoor,parallel,guided,10000,16,guided_c10000_t16,5.290499999999998,10
msdoor,parallel,guided,10000,32,guided_c10000_t32,4.3081,10
msdoor,parallel,guided,10000,64,guided_c10000_t64,36.81889999999999,10
nd24k,sequential,sequential,-,-,seq,20.0778,10
nd24k,parallel,static,1,1,static_c1_t1,20.267,10
nd24k,parallel,static,1,2,static_c1_t2,20.4687,10
nd24k,parallel,static,1,4,static_c1_t4,8.3285,10
nd24k,parallel,static,1,8,static_c1_t8,9.211,10
nd24k,parallel,static,1,16,static_c1_t16,7.9003000000000005,10
nd24k,parallel,static,1,32,static_c1_t32,7.854099999999999,10
nd24k,parallel,static,1,64,static_c1_t64,42.26139999999999,10
nd24k,parallel,static,10,1,static_c10_t1,20.1876,10
nd24k,parallel,static,10,2,static_c10_t2,14.8764,10
nd24k,parallel,static,10,4,static_c10_t4,7.7076,10
nd24k,parallel,static,10,8,static_c10_t8,7.1652000000000005,10
nd24k,parallel,static,10,16,static_c10_t16,4.087599999999999,10
nd24k,parallel,static,10,32,static_c10_t32,20.579099999999997,10
nd24k,parallel,static,10,64,static_c10_t64,43.368399999999994,10
nd24k,parallel,static,100,1,static_c100_t1,20.1442,10
nd24k,parallel,static,100,2,static_c100_t2,13.9697,10
nd24k,parallel,static,100,4,static_c100_t4,5.4651,10
nd24k,parallel,static,100,8,static_c100_t8,4.6484000000000005,10
nd24k,parallel,static,100,16,static_c100_t16,3.3826,10
nd24k,parallel,static,100,32,static_c100_t32,3.0141999999999998,10
nd24k,parallel,static,100,64,static_c100_t64,28.56279999999999,10
nd24k,parallel,static,1000,1,static_c1000_t1,20.1679,10
nd24k,parallel,static,1000,2,static_c1000_t2,14.2326,10
nd24k,parallel,static,1000,4,static_c1000_t4,9.1474,10
nd24k,parallel,static,1000,8,static_c1000_t8,5.996499999999995,10
nd24k,parallel,static,1000,16,static_c1000_t16,4.6025,10
nd24k,parallel,static,1000,32,static_c1000_t32,25.920699999999997,10
